"ref_area","source","indicator","sex","classif1","classif2","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_L2","EDU_AGGREGATE_ADV","2024",1.413,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_L2","EDU_AGGREGATE_X","2024",261.035,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_L1","EDU_AGGREGATE_TOTAL","2024",96.994,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_L1","EDU_AGGREGATE_LTB","2024",6.003,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_L1","EDU_AGGREGATE_BAS","2024",9.828,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_L1","EDU_AGGREGATE_INT","2024",2.293,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_L1","EDU_AGGREGATE_X","2024",78.87,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_X","EDU_AGGREGATE_TOTAL","2024",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_X","EDU_AGGREGATE_LTB","2024",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_X","EDU_AGGREGATE_X","2024",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_TOTAL","EDU_AGGREGATE_TOTAL","2023",695.766,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_TOTAL","EDU_AGGREGATE_LTB","2023",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_TOTAL","EDU_AGGREGATE_BAS","2023",9.069,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_TOTAL","EDU_AGGREGATE_INT","2023",21.167,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_TOTAL","EDU_AGGREGATE_X","2023",664.425,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L3-4","EDU_AGGREGATE_TOTAL","2023",76.01,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L3-4","EDU_AGGREGATE_INT","2023",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L3-4","EDU_AGGREGATE_X","2023",73.846,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L2","EDU_AGGREGATE_TOTAL","2023",488.144,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L2","EDU_AGGREGATE_LTB","2023",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_T","OCU_SKILL_L2","EDU_AGGREGATE_BAS","2023",7.335,"U",,,"R1:3513"
