"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_92","2020",33.23,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_93","2020",40.26,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_94","2020",77.34,"U","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_95","2020",42.45,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_96","2020",37.09,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_X","2020",43.62,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_TOTAL","2020",45.29,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_01","2020",70.51,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_02","2020",60.59,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_03","2020",69.95,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_11","2020",48.31,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_12","2020",50.55,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_13","2020",38.49,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_14","2020",62.69,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_21","2020",45.13,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_22","2020",51.64,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_23","2020",28.94,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_24","2020",50.35,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_25","2020",40.34,"U","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_26","2020",42.06,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_31","2020",53.86,"U","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_32","2020",45.36,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_33","2020",40.49,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_34","2020",45.94,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_35","2020",48.98,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_41","2020",45.18,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_42","2020",44.76,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_43","2020",44.33,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_44","2020",47.35,"B","T11:142_I11:264","R1:3513"
